word,freq
affaiblit,"1,22"
affairaient,"2,43"
affairais,"0,07"
affairait,"2,7"
affaire,"154,73"
affairees,"0,48"
affairent,"1,42"
affairer,"1,42"
affaires,"103,04"
affairons,"0,07"
affaissa,"1,08"
affaissait,"0,74"
affaisse,"3,99"
affaissee,"1,15"
affaissement,"1,35"
affaissent,"1,08"
affaisserait,"0,07"
affala,"2,09"
affale,"5,27"
affalee,"1,01"
affaler,"1,89"
affales,"1,08"
affame,"3,71"
affamee,"2,7"
affames,"5,48"
affecta,"1,28"
affectaient,"1,62"
affectait,"4,12"
affectant,"2,36"
affectation,5
affecte,"8,71"
affectee,"2,3"
affectent,"1,01"
affecter,"2,23"
affectera,"0,14"
affectes,"1,49"
affectif,"1,28"
affection,"29,53"
affectionnait,"1,49"
affectionnant,"0,14"
affectionne,"1,01"
affections,"1,76"
affective,"1,08"
affectueuse,"5,41"
affectueusement,"3,38"
affectueuses,"1,22"
affectueux,"7,97"
affermir,"1,69"
affermissait,"0,34"
affermit,"1,49"
affichage,"1,42"
affichaient,"1,35"
affichait,"4,93"
affichant,"1,56"
affiche,"11,42"
afficher,"3,78"
affiches,"11,56"
affichette,"1,08"
affinite,"2,16"
affinites,"2,3"
affirma,"10,07"
affirmai,"0,81"
affirmaient,"2,36"
affirmais,"1,22"
affirmait,"11,08"
affirmant,"3,92"
affirmatif,"1,35"
affirmation,"4,66"
affirmations,"1,76"
affirmative,"1,02"
affirme,"14,52"
affirment,"2,7"
affirmer,"13,58"
affirmerai,"0,07"
affirmerent,"0,81"
affirmions,"0,14"
affirmons,"0,27"
affleurait,"1,08"
affleure,"1,55"
affleurer,"1,08"
affliction,"2,5"
afflictions,"0,27"
afflige,"3,25"
affligeant,"0,88"
affluaient,"1,69"
affluant,"0,27"
affluence,"2,64"
affluent,"2,23"
affluer,"1,35"
affluerent,"0,81"
afflux,"2,3"
affola,"2,16"
affolait,"2,7"
affolant,"1,82"
affole,"11,22"
affolee,"5,21"
affolement,"5,34"
affoler,"2,5"
affoles,"3,85"
affolez,"0,27"
affranchi,"3,45"
affranchie,"1,62"
affranchir,"5,2"
affranchit,"1,15"
affres,"2,36"
affreuse,"12,64"
affreusement,"5,61"
affreuses,"4,59"
affreux,"26,01"
affriander,"0,07"
affront,"2,77"
affronta,"0,54"
affrontai,"0,07"
affrontaient,"1,62"
affronte,"1,62"
affrontement,"2,43"
affrontements,"1,62"
affrontent,"1,49"
affronter,"13,38"
affrontera,"0,07"
affrontiez,"0,07"
affronts,"1,08"
affublait,"0,41"
affuble,"2,23"
affubles,"1,42"
affut,"10,81"
affutant,"0,2"
affuts,"0,54"
africain,"5,07"
africaine,"4,66"
africaines,"1,89"
africains,"4,53"
agaca,"1,22"
agacaient,"1,96"
agacait,"6,42"
agacant,"2,84"
agacante,"1,22"
agace,"12,24"
agacee,"3,11"
agacement,"7,3"
agacent,"1,08"
agacer,"2,77"
age,"205,74"
agee,"8,92"
agees,"1,69"
agence,"14,32"
agencement,"1,69"
agences,"3,65"
agenda,"5,41"
agenouilla,"5,54"
agenouillais,"0,27"
agenouillait,"1,15"
agenouille,"6,56"
agenouillee,"2,77"
agenouiller,"3,72"
agenouillerent,"0,41"
agenouilles,"1,96"
agenouillons,"0,07"
agent,"22,5"
agents,"16,69"
ages,"17,9"
agglomeraient,"0,14"
agglomeration,"1,62"
agglomerations,"0,54"
agglomerees,"0,27"
agglomeres,"0,62"
agglutinent,"1,01"
agglutiner,"0,27"
agglutines,"1,89"
aggravait,"2,43"
aggrave,"1,76"
aggravee,"1,35"
aggraver,"2,43"
agi,"13,31"
agile,"3,31"
agiles,"1,69"
agilite,"3,31"
agir,"29,66"
agira,"1,08"
agirai,"0,34"
agirait,"3,85"
agis,"0,81"
agissaient,"1,49"
agissait,"80,47"
agissant,"4,46"
agisse,"4,53"
agissements,"0,95"
agissent,"1,69"
agissez,"0,74"
agissons,"0,61"
agit,"74,8"
agita,"6,76"
agitaient,"9,93"
agitait,"17,09"
agitant,"11,36"
agitateur,"0,68"
agitateurs,"1,22"
agitation,"20,07"
agitations,"1,28"
agite,"22,03"
agitee,"7,3"
agitees,"3,05"
agitent,"5,54"
agiter,"11,89"
agiterent,"1,22"
agites,"4,12"
agneau,"5,95"
agneaux,"2,84"
agnostique,"0,48"
agonie,"13,45"
agonies,"1,22"
agonisait,"1,62"
agonisant,"3,24"
agonisante,"1,29"
agonisants,"1,42"
agonise,"1,08"
agoniser,"1,01"
agoraphobie,"0,07"
agrafe,"0,41"
agrafes,"1,55"
agrandi,"1,96"
agrandie,"1,62"
agrandir,"2,7"
agrandis,"3,85"
agrandissait,"1,01"
agrandissement,"1,28"
agrandit,"1,62"
agreable,"32,9"
agreablement,"3,65"
agreables,"4,73"
agreer,"3,18"
agregation,"2,97"
agrege,"0,87"
agregees,"0,07"
agrement,"6,01"
agrementaient,"0,2"
agremente,"1,55"
agrementees,"0,68"
agrements,"1,15"
agresse,"1,49"
agressee,"0,41"
agresser,"0,34"
agresses,"0,2"
agresseur,"2,63"
agresseurs,"1,42"
agressif,"6,82"
agressifs,"1,69"
agression,"4,53"
agressions,"1,62"
agressive,"6,22"
agressivement,"1,01"
agressives,"1,15"
agressivite,"4,86"
agricole,"4,32"
agricoles,"3,04"
agriculteurs,"1,08"
agriculture,"2,77"
agrippa,"2,5"
agrippaient,"1,08"
agrippait,"1,82"
agrippant,"2,1"
agrippe,"4,19"
agrippee,"1,01"
agrippent,"1,08"
agripper,"1,28"
agronomique,"0,07"
aguerri,"0,75"
aguerrie,"0,21"
aguerries,"0,14"
aguichante,"0,27"
aguicheur,"0,07"
aguicheuses,"0,14"
ahuri,"7,57"
ahurie,"2,1"
ahuris,"2,71"
ahurissant,"1,42"
ahurissants,"0,27"
ahurissement,"1,76"
ai,"2738,17"
aida,"7,09"
aidai,"1,08"
aidaient,"3,31"
aidais,"1,49"
aidait,"9,73"
aidant,"11,49"
aide,"86,29"
aidee,"4,8"
aident,"2,57"
aider,"60,41"
aidera,"2,97"
aiderai,"2,03"
aiderais,"0,2"
aiderait,"3,58"
aideras,"0,81"
aiderent,"1,76"
aiderez,"0,54"
aideriez,"0,2"
aiderons,"0,14"
aideront,"0,74"
aides,"7,77"
aidez,"2,77"
aidiez,"0,2"
aidons,"0,47"
aient,"29,8"
aieul,"4,46"
aieule,"3,24"
aieux,"2,09"
aigle,"7,91"
aigles,"3,45"
aigre,"9,6"
aigrelet,"1,35"
aigrelette,"1,76"
aigrelettes,"0,27"
aigrement,"1,42"
aigres,"2,09"
aigrette,"1,42"
aigrettes,"1,89"
aigreur,"2,91"
aigreurs,"1,42"
aigri,"1,42"
aigrir,"0,41"
aigris,"0,61"
aigrissait,"0,14"
aigu,"14,46"
aigue,"11,49"
aigues,"3,65"
aiguillage,"1,42"
aiguille,"18,99"
aiguilles,"17,16"
aiguillon,"2,09"
aiguillonnaient,"0,14"
aiguillonnent,"0,07"
aiguisait,"1,01"
aiguise,"1,28"
aiguiser,"1,62"
aigus,"5,68"
aikido,"0,07"
ail,"7,97"
aile,"22,36"
ailee,"1,01"
aileron,"0,41"
ailerons,"1,08"
ailes,40
ailier,"1,22"
aille,"36,55"
aillent,"4,86"
ailles,"2,43"
ailleurs,"346,35"
aima,"1,69"
aimable,"24,59"
aimablement,"3,85"
aimables,"4,66"
aimaient,"16,42"
aimais,"57,16"
aimait,"128,72"
aimant,"7,43"
aimante,"2,23"
aimantees,"0,2"
aimants,"0,61"
aime,"335,61"
aimee,"18,31"
aimees,"2,43"
aiment,"26,96"
aimer,"84,46"
aimera,"2,57"
aimerai,"2,97"
aimeraient,"2,03"
aimerais,"36,01"
aimerait,"12,43"
aimeras,"1,28"
aimerez,"1,01"
aimeriez,"0,88"
aimerions,"1,01"
aimeront,"0,34"
aimes,"34,39"
aimez,"18,38"
aimiez,"2,64"
aimions,"6,55"
aimons,"6,22"
aine,"23,04"
ainee,"9,87"
ainees,"1,28"
aines,"5,07"
ainsi,"469,46"
air,"661,01"
aire,"4,46"
airelles,"0,34"
aires,"0,68"
airs,"29,8"
ais,"0,47"
aisance,"15,2"
aise,"55,27"
aisee,"2,91"
aisement,"11,69"
aises,"2,97"
aisselle,"3,72"
aisselles,"5,27"
ait,"148,65"
ajournement,"0,07"
ajournements,"0,07"
ajouta,85
ajoutai,"5,34"
ajoutaient,"4,26"
ajoutais,"1,42"
ajoutait,"22,57"
ajoutant,"11,08"
ajoute,"48,99"
ajoutent,"1,89"
ajouter,"33,85"
ajouterai,"1,22"
ajoutez,"2,3"
ajoutons,"0,68"
ajusta,"2,5"
ajustant,"1,01"
ajuste,"3,85"
ajustee,"1,49"
ajustees,"0,81"
ajuster,"1,76"
alambic,"1,08"
alanguie,"1,22"
alanguies,"0,4"
alanguissaient,"0,14"
alanguit,"0,34"
alarmait,"1,08"
alarme,"7,77"
alarmer,"1,22"
alarmes,"1,9"
alarmez,"0,07"
albatre,"3,04"
albatros,"1,15"
album,"13,31"
albums,"5,07"
alchimie,"1,82"
alchimiste,"2,16"
alcool,"39,73"
alcoolique,"2,5"
alcooliques,"1,22"
alcoolisme,"0,95"
alcoolo,"0,95"
alcools,"3,11"
alcove,"4,32"
aleatoire,"1,96"
alentour,"8,92"
alentours,"9,12"
alerte,"23,1"
alertee,"2,57"
alertees,"0,41"
alerter,"2,91"
alertes,"5,15"
alertez,"0,07"
alexandrin,"0,41"
alexandrins,"1,56"
algebre,"2,03"
algue,"1,62"
algues,"10,41"
alias,"3,85"
alibi,"5,47"
alibis,"1,35"
alienante,"1,08"
alienation,"1,49"
alienes,"0,68"
alignaient,"5,07"
alignait,"1,89"
aligne,"2,16"
alignees,"6,22"
alignement,"4,12"
alignements,"1,01"
alignent,"2,3"
aligner,"3,78"
alignes,"8,31"
alignez,"0,07"
aliment,"1,76"
alimentaire,"2,57"
alimentaires,"2,23"
alimentait,"1,01"
alimentation,"4,19"
alimente,"0,81"
alimenter,"3,85"
aliments,"4,86"
alla,"67,57"
allai,"18,92"
allaient,"80,88"
allais,"91,01"
allait,"370,61"
allames,"3,45"
allant,"31,62"
allat,"2,97"
alle,"57,3"
allechant,"0,75"
alleche,"1,01"
alleches,"0,2"
allee,"61,08"
allees,"28,51"
allegations,"0,47"
allege,"1,08"
allegeance,"1,35"
allegee,"1,08"
alleger,"1,69"
allegorie,"1,15"
allegories,"1,01"
allegoriques,"0,68"
allegre,"4,46"
allegrement,"4,8"
allegres,"0,47"
allegresse,"11,82"
alleluia,"0,61"
alleluias,"0,14"
allemand,"54,86"
allemande,"27,37"
allemandes,"14,19"
allemands,"81,69"
aller,"376,08"
allerent,"11,69"
allergie,"0,61"
allergique,"0,61"
alles,"17,23"
allez,"155,61"
alliage,"0,95"
alliance,"20,81"
alliances,"3,92"
allie,"12,23"
alliee,"6,08"
alliees,"11,63"
allier,"0,88"
allies,"56,82"
alliez,"3,31"
alligator,"0,2"
alligators,"0,27"
allions,"23,65"
allocation,"0,41"
allocations,"1,22"
allocution,"3,11"
allocutions,"1,01"
allonge,"34,73"
allongea,"8,99"
allongeaient,"2,43"
allongeait,"6,35"
allongeant,"3,58"
allongee,"14,8"
allongees,"3,98"
allongent,"2,57"
allonger,"12,16"
allonges,"8,25"
allongez,"0,34"
allons,"129,8"
allouait,"0,54"
alluma,"23,78"
allumage,"1,35"
allumai,"2,09"
allumaient,"4,53"
allumais,"1,22"
allumait,"8,11"
allumant,"4,05"
allume,"37,84"
allumee,"11,21"
allumees,"4,53"
allument,"3,24"
allumer,"20,74"
