,word,pron,freq,len,phlen
1064,abwurfe,apvyrf@,0.17,7,7
1065,abwurfen,apvyrf@n,0.17,8,8
1067,abzahlung,aptsaluN,0.67,9,8
1070,abzeichen,aptsaiC@n,2.83,9,9
1071,abzeichens,aptsaiC@ns,0.33,10,10
1074,abziehbilder,aptsibild@r,0.17,12,11
1083,abzug,aptsuk,30.67,5,6
1085,abzuges,aptsug@s,0.67,7,8
1086,abzugs,aptsuks,0.5,6,7
1090,abzweige,aptsvaig@,0.17,8,9
1094,abzweigung,aptsvaiguN,0.83,10,10
1095,abzweigungen,aptsvaiguN@n,0.33,12,12
1103,abzuge,aptsyg@,1.0,6,7
1104,abzugen,aptsyg@n,1.0,7,8
1105,abanderung,apend@ruN,2.17,10,9
1106,abanderungen,apend@ruN@n,0.67,12,11
1108,accessoires,ek@szoir@s,0.33,11,10
1120,achillesferse,axil@sfe@rz@,0.33,13,12
1122,achillessehne,axil@szen@,0.17,13,10
1139,achse,aks@,7.5,5,4
1140,achsel,aks@l,0.67,6,5
1147,achselhohlen,aks@lh2l@n,1.0,12,10
1149,achselklappen,aks@lklap@n,0.17,13,11
1150,achseln,aks@ln,4.33,7,6
1153,achsen,aks@n,2.17,6,5
1154,achsenbruch,aks@nbrux,0.33,11,9
1169,acht,axt,1.0,4,3
1171,achteck,axtek,0.5,7,5
1176,achtel,axt@l,2.33,6,5
1184,achten,axt@n,1.0,6,5
1188,achter,axt@r,3.83,6,5
1191,achterdeck,axt@rdek,0.17,10,8
1196,achters,axt@rs,0.5,7,6
1197,achtersteven,axt@rst@v@n,0.33,12,11
1205,achtkampf,axtkampf,0.17,9,8
1211,achtlosigkeit,axtloziCkait,0.17,13,12
1212,achtlosigkeiten,axtloziCkait@n,0.17,15,14
1215,achtsamkeit,axtzamkait,0.17,11,10
1221,achtung,axtuN,20.33,7,5
1225,achtungserfolg,axtuNs@rfolk,0.17,14,12
1233,achtzig,axtsiC,0.33,7,6
1243,achtzylinder,axtsylind@r,0.33,12,11
1275,acre,akr@,0.33,4,4
1276,acres,akr@s,0.17,5,5
1281,adamsapfel,adamsapf@l,0.83,10,10
1287,adamsapfel,adamsepf@l,0.33,10,10
1297,addiermaschine,adi@maSin@,0.17,14,10
1298,addiermaschinen,adi@maSin@n,0.17,15,11
1299,addition,aditsjon,1.17,8,8
1300,additionen,aditsjon@n,0.33,10,10
1302,additive,aditiv@,1.33,8,7
1303,additiven,aditiv@n,0.5,9,8
1311,ade,ade,0.33,3,3
1312,adel,ad@l,10.17,4,4
1313,adels,ad@ls,3.83,5,5
1324,adelung,ad@luN,0.17,7,6
1331,adepten,adept@n,0.33,7,7
1332,ader,ad@r,1.67,4,4
1335,aderlass,ad@rlas,0.5,8,7
1337,aderlassen,ad@rles@n,0.33,10,9
1338,adern,ad@rn,3.33,5,5
1344,adjektiv,atjektif,5.17,8,8
1345,adjektive,atjektiv@,5.83,9,9
1346,adjektiven,atjektiv@n,2.67,10,10
1348,adjektivs,atjektifs,0.67,9,9
1351,adjunkt,atjuNkt,0.33,7,7
1355,adjutant,atjutant,1.83,8,8
1356,adjutanten,atjutant@n,1.0,10,10
1362,adler,adl@r,6.5,5,5
1368,adlern,adl@rn,0.17,6,6
1369,adlers,adl@rs,0.33,6,6
1370,adlige,adlig@,0.67,6,6
1372,adligen,adlig@n,0.83,7,7
1373,adliger,adlig@r,0.17,7,7
1375,administration,atministratsjon,2.5,14,15
1377,administrator,atministrato@r,0.17,13,14
1380,admiral,atmiral,5.5,7,7
1382,admiralen,atmiral@n,1.0,9,9
1383,admiralitat,atmiralitet,0.17,11,11
1385,admirals,atmirals,0.5,8,8
1391,adonis,adonis,0.17,6,6
1394,adoption,adoptsjon,1.0,8,9
1396,adoptivkind,adoptifkint,0.17,11,11
1408,adressat,adresat,1.0,8,7
1409,adressaten,adresat@n,1.0,10,9
1410,adresse,adres@,22.83,7,6
1411,adressen,adres@n,7.0,8,7
1412,adressiermaschine,adresi@maSin@,0.17,17,13
1414,adressbuch,adresbux,0.33,10,8
1420,adria,adria,4.67,5,5
1425,advent,atvent,0.67,6,6
1437,adventssonntag,atventszontak,0.5,14,13
1442,adverb,atf@rp,0.17,6,6
1445,adverbialsatz,atf@rbialzats,0.5,13,13
1447,adverbialsatzes,atf@rbialzats@s,0.33,15,15
1448,adverbialsatze,atf@rbialzets@,1.0,14,14
1449,adverbialsatzen,atf@rbialzets@n,0.17,15,15
1450,adverbien,atf@rbi@n,1.67,9,9
1452,advokat,atvokat,1.67,7,7
1453,advokaten,atvokat@n,1.17,9,9
1460,aeroflot,eroflot,2.5,8,7
1481,aerosole,erozol@,0.33,8,7
1485,affe,af@,1.0,4,3
1486,affekt,afekt,2.0,6,5
1489,affekte,afekt@,0.83,7,6
1490,affekten,afekt@n,1.5,8,7
1491,affektes,afekt@s,0.33,8,7
1497,affektionen,afektsjon@n,0.17,11,11
1499,affekts,afekts,0.67,7,6
1500,affen,af@n,5.67,5,4
1522,affinitat,afinitet,0.67,9,8
1523,affinitaten,afinitet@n,0.17,11,10
1538,affront,afr@nt,2.0,7,6
1540,affare,afer@,12.33,6,5
1541,affaren,afer@n,1.17,7,6
1542,afghane,afghan@,0.17,7,7
1544,afghanistan,afganistan,1.83,11,10
1545,afghanistans,afganistans,0.5,12,11
1546,afrika,afrika,38.17,6,6
1554,afrikaner,afrikan@r,6.83,9,9
1555,afrikanern,afrikan@rn,2.0,10,10
1560,afrikas,afrikas,15.83,7,7
1561,after,aft@r,0.17,5,5
1575,agaven,agav@n,1.0,6,6
1579,agens,ag@ns,1.0,5,5
1580,agent,agent,5.17,5,5
1581,agenten,agent@n,13.17,7,7
1585,agentinnen,ag@ntin@n,0.33,10,9
1586,agentur,agentu@r,10.33,7,8
1587,agenturen,agentur@n,6.5,9,9
1598,aggregat,agregat,1.83,8,7
1599,aggregate,agregat@,3.17,9,8
1600,aggregaten,agregat@n,1.0,10,9
1605,aggregatzustand,agregattsuStant,0.5,15,15
1611,aggression,agresjon,27.5,10,8
1612,aggressionen,agresjon@n,3.17,12,10
1613,aggressivitat,agresivitet,4.0,13,11
1615,aggressor,agresor,2.33,9,7
1616,aggressoren,agresor@n,5.33,11,9
1617,aggressors,agreso@rSs,2.67,10,10
1620,agio,agjo,0.33,4,4
1628,agitation,agitatsjon,3.67,9,10
1630,agitator,agitato@r,0.83,8,9
1631,agitatoren,agitator@n,2.0,10,10
1632,agitators,agitato@r@rs,0.33,9,12
1637,agnostiker,agnoStik@r,0.17,10,10
1653,agrariers,agrarj@rs,0.17,9,9
1654,agrarpolitik,agrarpolitik,4.5,12,12
1656,agrarreform,agrarrefo@rm,1.83,11,12
1658,agrarwissenschaft,agrarvis@nSaft,0.17,17,14
1661,agreements,agrements,0.17,10,9
1662,agrikultur,agrikultu@rs,0.17,10,12
1664,agronom,agronom,0.83,7,7
1665,agronomen,agronom@n,0.83,9,9
1666,agronomie,agronomi,0.17,9,8
1667,agrotechnik,agroteCnik,0.17,11,10
1669,ahlen,al@n,0.83,5,4
1679,ahndung,anduN,0.33,7,5
1682,ahnen,an@n,1.17,5,4
1683,ahnenbild,an@nbilt,0.17,9,8
1689,ahnengalerie,an@ngal@ri,0.17,12,10
1698,ahnentafel,an@ntaf@l,0.17,10,9
1704,ahnherren,anher@n,0.33,9,7
1706,ahnung,anuN,20.5,6,4
1707,ahnungen,anuN@n,1.33,8,6
1708,ahnungslosigkeit,anuNsloziCkait,0.83,16,14
1710,ahorn,aho@rn,0.5,5,6
1714,ai,ai,0.17,2,2
1715,aide,ed@,0.33,4,3
1721,air,e@r,0.67,3,3
1722,airbus,e@rbus,0.5,6,6
1727,ais,ais,0.17,3,3
1728,akademie,akademi,33.67,8,7
1729,akademien,akademj@n,2.0,9,9
1730,akademiker,akad@mik@r,3.83,10,10
1731,akademikerin,akad@mik@rin,0.17,12,12
1733,akademikern,akad@mik@rn,1.0,11,11
1734,akademikers,akad@mik@rs,0.33,11,11
1745,akanthusblatter,akantusblet@r,0.17,15,13
1753,akazie,akatsj@,0.17,6,7
