,word,pron,freq
1156,#####po,####po,2.6500000000000004
1157,#####poir,#####pwaR,10.61
1158,#####pons,####p§,1.51
1160,#####port,####pOR,13.06
1164,#####pris,####pRi,1.17
1166,#####prié,####pRi,5.43
1173,#####pè,#####pER,1.42
1174,#####pé,####pe,27.09
1175,#####pée,####pe,4.659999999999999
1178,#####pés,###pe,2.88
1179,#####pôt,####po,7.47
1180,#####pôts,####po,2.28
1181,#####qua,#####ka,2.07
1185,#####que,###ik,3.31
1186,#####quer,#####ke,51.779999999999994
1187,#####quet,####kE,4.39
1188,#####quez,#####ke,9.959999999999999
1193,#####qué,#####ke,82.43000000000002
1194,#####quée,####ke,7.8100000000000005
1195,#####qués,####ke,5.880000000000001
1196,#####ra,####Ra,168.20999999999998
1197,#####rai,####RE,102.36
1198,#####raie,#####RE,1.08
1200,#####rain,####R5,5.75
1201,#####rais,####RE,46.20000000000003
1202,#####rait,####RE,52.300000000000026
1203,#####ral,####Ral,2.0
1206,#####rang,####R@g,2.17
1208,#####rant,#####R@,11.399999999999999
1209,#####ras,####Ra,39.78000000000003
1210,#####rat,#####Ra,4.09
1213,#####raît,#####RE,10.02
1214,#####raï,####Raj,1.3
1216,#####re,#####R°,2.54
1217,#####reau,####Ro,5.58
1218,#####rect,###REkt,1.67
1220,#####rel,#####REl,3.41
1221,#####rels,#####REl,1.4100000000000001
1222,#####rend,####R@,1.15
1223,#####rent,####R@,65.98
1224,#####rer,#####Re,86.78999999999999
1225,#####ret,####RE,3.21
1227,#####reur,#####R9R,28.68
1228,#####reux,####R2,7.64
1230,#####rez,#####Re,73.63000000000004
1233,#####ri,###Ri,9.890000000000002
1237,#####rie,####Ri,49.99
1239,#####rien,####Rj5,1.8900000000000001
1240,#####rier,#####Rje,2.25
1241,#####ries,####Ri,83.00999999999999
1242,#####riez,#####Rje,2.55
1247,#####rir,###RiR,14.839999999999998
1248,#####ris,#####Ris,1.28
1249,#####rit,###Ri,3.01
1253,#####ro,###ROZ,8.37
1254,#####roi,####Rwa,1.32
1256,#####ron,####R§,7.529999999999999
1257,#####rons,#####R§,26.94000000000001
1258,#####ront,####R§,28.61
1260,#####ru,#####Ry,93.89999999999999
1261,#####rue,#####Ry,9.11
1262,#####rues,#####Ry,3.34
1264,#####rus,#####Ry,8.41
1266,#####ry,#####Ri,1.04
1271,#####ré,#####Re,100.02999999999999
1272,#####rée,#####Re,24.090000000000003
1274,#####rées,#####Re,4.709999999999998
1275,#####rés,####Re,17.73
1277,#####s,#####staR,1.67
1278,#####sa,###sad,8.85
1283,#####sais,####sE,4.709999999999998
1284,#####sait,####sE,10.709999999999997
1286,#####san,#####z@,2.71
1287,#####sans,#####z@,3.9000000000000004
1288,#####sant,####z@,16.95
1290,#####sard,###saR,2.0
1293,#####se,#####z°,2.48
1294,#####seau,###so,2.13
1296,#####sent,###is,2.04
1297,#####ser,#####ze,90.14
1299,#####seur,###s9R,25.940000000000005
1300,#####seux,####s2,5.6899999999999995
1301,#####sez,####se,22.180000000000003
1303,#####si,###si,21.58
1305,#####sie,####zi,13.42
1307,#####sier,####zje,4.16
1309,#####siez,####sje,1.12
1310,#####sif,####sif,12.690000000000001
1311,#####sin,###s5,47.730000000000004
1312,#####sins,###s5,13.139999999999999
1313,#####sion,####sj§,42.98
1315,#####sis,####si,1.5
1317,#####sium,####sjOm,1.68
1322,#####so,#####zo,1.4500000000000002
1326,#####son,####z§,22.759999999999998
1327,#####sons,####s§,10.99
1328,#####su,##syR,12.49
1333,#####sy,#####zi,3.85
1336,#####sé,#####ze,62.129999999999995
1337,#####sée,####se,10.89
1338,#####sées,#####ze,2.7199999999999998
1339,#####sés,####ze,7.099999999999999
1341,#####ta,####taZ,39.08
1343,#####tain,####t5,1.49
1344,#####tais,#####tE,9.200000000000001
1345,#####tait,####tE,19.179999999999996
1346,#####tal,####tal,1.6400000000000001
1348,#####tant,####t@,217.2
1351,#####tars,####taR,1.08
1353,#####tat,#####ta,25.15
1354,#####tats,#####ta,34.31
1356,#####te,####te,7.2
1357,#####teau,####to,1.98
1358,#####tel,####tEl,3.52
1359,#####tels,####tEl,1.58
1360,#####tent,####t@,6.17
1362,#####ter,####te,194.07000000000002
1366,#####teur,#####t9R,117.77000000000001
1368,#####tez,####te,73.13000000000001
1370,#####thie,####ti,6.87
1372,#####ti,#####tiv,29.47
1376,#####tie,#####ti,12.83
1377,#####tiel,###sjEl,16.69
1378,#####tien,####tj5,16.72
1379,#####tier,#####tje,3.9800000000000004
1380,#####ties,####ti,3.8499999999999996
1381,#####tiez,####tje,3.1
1382,#####tif,#####tif,38.27
1383,#####tin,####t5,4.7799999999999985
1384,#####ting,#####tiG,1.88
1385,#####tins,####t5,4.24
1387,#####tion,#####sj§,370.5499999999998
1388,#####tir,####tiR,24.099999999999998
1390,#####tis,####ti,21.02
1391,#####tit,####ti,9.190000000000001
1394,#####to,####to,3.32
1397,#####ton,####t§,1.03
1398,#####tons,#####t§,13.77
1404,#####tra,####tRa,8.87
1405,#####trai,####tRE,3.63
1406,#####tral,#####tRal,1.34
1407,#####tras,####tRa,2.17
1408,#####trat,#####tRa,2.71
1410,#####trer,####tRe,6.970000000000001
1411,#####trez,####tRe,1.8300000000000003
1412,#####trie,####tRi,9.66
1415,#####tré,####tRe,3.79
1417,#####trés,####tRe,1.1600000000000001
1418,#####tu,####tyR,42.370000000000005
1421,#####tue,####ty,2.29
1422,#####tuel,#####t8El,1.87
1423,#####tuer,####t8e,3.5599999999999996
1427,#####tun,####t1,1.97
1429,#####tus,#####tys,1.16
1430,#####tut,####ty,5.37
1433,#####tué,####t8e,3.8400000000000003
1436,#####ty,#####tip,2.29
1439,#####tè,#####tER,38.91
1440,#####té,#####te,323.1299999999999
1441,#####tée,####te,21.860000000000003
1442,#####tées,####te,6.159999999999998
1443,#####tés,#####te,30.09
1446,#####tôt,###to,13.52
1447,#####va,#####vaZ,7.14
1449,#####vais,#####vE,2.4299999999999997
1450,#####vait,#####vE,3.71
1451,#####val,#####val,16.04
1453,#####vant,#####v@,8.06
1454,#####vard,####vaR,4.19
1457,#####veau,####vo,1.38
1458,#####ver,#####vER,28.05
1459,#####vers,#####vER,2.69
1460,#####vert,####vER,53.77
1461,#####vez,#####ve,8.93
1462,#####vi,####vi,3.05
1476,#####voir,#####vwaR,8.02
1479,#####vons,#####v§,2.5200000000000005
1482,#####vra,#####vRa,4.09
1483,#####vrai,#####vRE,2.99
1486,#####vrez,####vRe,2.9699999999999998
1489,#####vrir,####vRiR,38.85
1491,#####vrit,####vRi,1.6500000000000001
1497,#####vu,####vy,3.6
1498,#####vue,####vy,4.550000000000001
1503,#####vé,#####ve,28.970000000000002
1504,#####vée,#####ve,6.319999999999999
1505,#####vées,#####ve,2.06
1506,#####vés,#####ve,3.5899999999999994
1511,#####zi,####zi,3.32
1513,#####zo,#####zo,1.37
1518,#####çait,####sE,1.73
1519,#####çant,####s@,2.0
1521,#####çons,####s§,1.24
1523,####ba,####bat,2.35
1528,####ball,###bOl,13.93
1531,####bans,####b@,1.58
1532,####bant,###b@,1.46
