word,ortho,pron,freq,
ha-bi-tu-de,habitude,a-bi-ty-d°,154.46,
pa-ssa-ge,passage,pa-sa-Z°,154.39,
pré-pa-rer,préparer,pRe-pa-Re,154.12,
mar-che,marche,maR-S°,152.97,
re-fu-ser,refuser,R°-fy-ze,152.77,
a-me,ame,a-m°,151.62,
pen-sée,pensée,p@-se,151.55,
da-me,dame,da-m°,151.35,
lé-ger,léger,le-Ze,151.01,
sol,sol,sol,150.34,
joie,joie,Zwa,150.2,
pa-yer,payer,pe-je,150.2,
cour,cour,kuR,150.14,
bu-reau,bureau,by-Ro,150.07,
len-de-main,lendemain,l@-d°-m5,149.26,
es-ca-lier,escalier,es-ka-lje,148.85,
sim-ple,simple,s5-pl°,148.58,
a-che-ter,acheter,a-S°-te,148.38,
ro-be,robe,Ro-b°,148.18,
e-xis-ter,exister,e-gzis-te,148.18,
ar-mée,armée,aR-me,146.55,
po-che,poche,po-S°,146.28,
é-gli-se,église,e-gli-z°,145.07,
tes,tes,te,145.0,
ac-cep-ter,accepter,ak-sep-te,144.66,
con-dui-re,conduire,k&-d8i-R°,144.66,
vue,vue,vy,144.39,
ma-man,maman,ma-m@,144.39,
vi-lla-ge,village,vi-la-Z°,143.99,
é-co-le,école,e-ko-l°,143.99,
re-te-nir,retenir,R°-t°-niR,143.92,
sec,sec,sek,142.84,
ser-vi-ce,service,seR-vi-s°,142.77,
re-mar-quer,remarquer,R°-maR-ke,142.16,
ven-tre,ventre,v@-tR°,141.96,
gout,gout,gu,141.82,
es-pè-ce,espèce,es-pe-s°,141.69,
dé-but,début,de-by,141.49,
fi-xer,fixer,fi-kse,140.95,
vé-ri-té,vérité,ve-Ri-te,140.88,
cou-per,couper,ku-pe,140.88,
phra-se,phrase,fRa-z°,140.47,
vo-ya-ge,voyage,vwa-ja-Z°,140.07,
tai-re,taire,te-R°,139.8,
plai-re,plaire,ple-R°,139.8,
ce-pen-dant,cependant,s°-p@-d@,139.73,
é-po-que,époque,e-po-k°,138.51,
feu-ille,feuille,f2-j°,138.04,
me-ner,mener,m°-ne,137.7,
en-droit,endroit,@-dRwa,137.57,
em-bra-sser,embrasser,@-bRa-se,137.5,
le-quel,lequel,l°-kel,137.09,
e-ffort,effort,e-foR,136.62,
chan-ce,chance,S@-s°,136.35,
a-ccord,accord,a-koR,136.15,
sai-sir,saisir,se-ziR,135.74,
pré-sen-ce,présence,pRe-z@-s°,135.54,
cui-si-ne,cuisine,k8i-zi-n°,135.41,
pré-sen-ter,présenter,pRe-z@-te,135.14,
es-pé-rer,espérer,es-pe-Re,134.93,
re-join-dre,rejoindre,R°-Zw5-dR°,134.8,
sau-ter,sauter,so-te,134.59,
sim-ple-ment,simplement,s5-pl°-m@,134.32,
boî-te,boîte,bwa-t°,134.05,
choi-sir,choisir,Swa-ziR,133.92,
a-nnon-cer,annoncer,a-n&-se,133.92,
cou-vrir,couvrir,ku-vRiR,133.51,
lar-me,larme,laR-m°,133.51,
pré-fé-rer,préférer,pRe-fe-Re,133.38,
é-loi-gner,éloigner,e-lwa-Ne,133.11,
siè-cle,siècle,sje-kl°,132.91,
me-su-re,mesure,m°-zy-R°,132.84,
é-cha-pper,échapper,e-Sa-pe,132.64,
pa-tron,patron,pa-tR&,132.43,
ou-vert,ouvert,u-veR,132.36,
puis-que,puisque,p8is-k°,131.82,
ra-pport,rapport,Ra-poR,130.95,
chat,chat,Sa,130.74,
moin-dre,moindre,mw5-dR°,130.27,
mè-tre,mètre,me-tR°,130.07,
sol-dat,soldat,sol-da,128.92,
de-meu-rer,demeurer,d°-m2-Re,128.85,
rê-ve,rêve,Re-v°,128.58,
a-ban-do-nner,abandonner,a-b@-do-ne,128.45,
dou-ce-ment,doucement,du-s°-m@,128.38,
rê-ver,rêver,Re-ve,128.18,
ge-nou,genou,Z°-nu,127.91,
on-cle,oncle,&-kl°,127.7,
é-prou-ver,éprouver,e-pRu-ve,127.09,
ten-ter,tenter,t@-te,126.96,
a-ttein-dre,atteindre,a-t5-dR°,126.76,
tot,tot,to,126.76,
e-xem-ple,exemple,e-gz@-pl°,126.62,
a-ssu-rer,assurer,a-sy-Re,126.55,
lan-gue,langue,l@-g°,126.28,
a-ppu-yer,appuyer,a-p8i-je,126.01,
chan-ter,chanter,S@-te,125.81,
som-bre,sombre,s&-bR°,125.74,
dent,dent,d@,125.68,
é-té,été,e-te,125.47,
ré-ve-iller,réveiller,Re-ve-je,125.41,
re-le-ver,relever,R°-l°-ve,124.93,
ob-jet,objet,ob-Ze,124.32,
ma-ri,mari,ma-Ri,124.26,
ha-sard,hasard,a-zaR,124.19,
mur-mu-rer,murmurer,myR-my-Re,123.58,
dé-part,départ,de-paR,123.04,
traî-ner,traîner,tRe-ne,122.77,
pluie,pluie,pl8i,122.57,
grou-pe,groupe,gRu-p°,122.5,
hé-si-ter,hésiter,e-zi-te,122.43,
ré-u-ssir,réussir,Re-y-siR,122.16,
char-ger,charger,SaR-Ze,122.16,
joue,joue,Zu,121.76,
se-con-de,seconde,s°-g&-d°,121.49,
em-por-ter,emporter,@-poR-te,121.28,
cou-ler,couler,ku-le,121.15,
a-mu-ser,amuser,a-my-ze,120.95,
é-nor-me,énorme,e-noR-m°,120.0,
jo-li,joli,Zo-li,120.0,
pro-po-ser,proposer,pRo-po-ze,119.66,
naî-tre,naître,ne-tR°,119.32,
sou-ffrir,souffrir,su-fRiR,119.26,
en-trée,entrée,@-tRe,118.78,
her-be,herbe,eR-b°,118.51,
tan-te,tante,t@-t°,118.38,
chai-se,chaise,Se-z°,118.31,
di-ffi-ci-le,difficile,di-fi-si-l°,118.11,
droi-te,droite,dRwa-t°,117.97,
in-té-re-sser,intéresser,5-te-Re-se,117.36,
dé-sir,désir,de-ziR,117.09,
sur-pren-dre,surprendre,syR-pR@-dR°,116.62,
é-to-nner,étonner,e-to-ne,116.55,
i-mmo-bi-le,immobile,i-mo-bi-l°,116.42,
se-cou-er,secouer,s°-ku-e,116.35,
a-llu-mer,allumer,a-ly-me,116.28,
cha-leur,chaleur,Sa-l2R,116.22,
ob-ser-ver,observer,ob-seR-ve,116.01,
pa-ge,page,pa-Z°,115.54,
cou,cou,ku,115.34,
bai-sser,baisser,be-se,115.27,
scè-ne,scène,se-n°,114.93,
ci-ga-re-tte,cigarette,si-ga-Re-t°,114.93,
so-mmeil,sommeil,so-mej,114.8,
mu-si-que,musique,my-zi-k°,114.32,
fer,fer,feR,114.19,
a-ve-nir,avenir,a-v°-niR,113.72,
sou-le-ver,soulever,su-l°-ve,113.38,
a-rra-cher,arracher,a-Ra-Se,113.38,
fo-rêt,forêt,fo-Re,113.31,
neuf,neuf,n2f,113.18,
oi-seau,oiseau,wa-zo,113.04,
mê-ler,mêler,me-le,112.64,
co-te,cote,ko-t°,112.5,
co-te,cote,ko-t°,112.5,
ha-bi-ter,habiter,a-bi-te,112.5,
de-vi-ner,deviner,d°-vi-ne,112.3,
fou-le,foule,fu-l°,112.3,
quar-tier,quartier,kaR-tje,112.16,
en-tou-rer,entourer,@-tu-Re,112.09,
gar-de,garde,gaR-d°,112.09,
é-ten-dre,étendre,e-t@-dR°,111.89,
ar-me,arme,aR-m°,111.49,
car-te,carte,kaR-t°,111.42,
se-lon,selon,s°-l&,110.88,
mé-moi-re,mémoire,me-mwa-R°,110.88,
guè-re,guère,ge-R°,110.68,
vin,vin,v5,110.47,
é-vi-ter,éviter,e-vi-te,110.47,
for-mer,former,foR-me,110.27,
gueu-le,gueule,g2-l°,109.93,
sé-pa-rer,séparer,se-pa-Re,109.8,
ra-me-ner,ramener,Ra-m°-ne,109.26,
cla-sse,classe,kla-s°,108.92,
i-gno-rer,ignorer,i-No-Re,108.45,
trou,trou,tRu,108.38,
crain-dre,craindre,kR5-dR°,108.31,
î-le,île,i-l°,108.24,
di-rec-tion,direction,di-Rek-sj&,108.04,
com-bien,combien,k&-bj5,108.04,
ce-lles,celles,se-l°,107.97,
o-bli-ger,obliger,o-bli-Ze,107.57,
prix,prix,pRi,107.5,
peu-ple,peuple,p2-pl°,107.3,
cam-pa-gne,campagne,k@-pa-N°,107.23,
co-ller,coller,ko-le,107.16,
i-mmen-se,immense,i-m@-s°,106.89,
toi-le,toile,twa-l°,106.62,
champ,champ,S@,106.49,
pour-sui-vre,poursuivre,puR-s8i-vR°,106.42,
pro-pos,propos,pRo-po,106.28,
pri-er,prier,pRi-je,105.74,
o-cca-sion,occasion,o-ka-zj&,105.74,
tris-te,triste,tRis-t°,105.61,
em-me-ner,emmener,@-m°-ne,105.47,
pain,pain,p5,105.41,
trou-pe,troupe,tRu-p°,105.41,
son-ger,songer,s&-Ze,104.86,
si-tu-a-tion,situation,si-ty-a-sj&,104.86,
en-fon-cer,enfoncer,@-f&-se,104.8,
bru-ler,bruler,bRy-le,104.73,
cou-loir,couloir,ku-lwaR,104.53,
poi-tri-ne,poitrine,pwa-tRi-n°,104.46,
bou-te-ille,bouteille,bu-te-j°,104.05,
en-fan-ce,enfance,@-f@-s°,103.99,
é-le-ver,élever,e-l°-ve,103.85,
paix,paix,pe,103.72,
co-pain,copain,ko-p5,103.38,
huit,huit,8it,102.5,
res-pi-rer,respirer,Res-pi-Re,102.43,
fau-teuil,fauteuil,fo-t2j,102.03,
sa-le,sale,sa-l°,102.03,
es-poir,espoir,es-pwaR,101.89,
pla-cer,placer,pla-se,101.76,
du-rer,durer,dy-Re,101.62,
pro-me-ttre,promettre,pRo-me-tR°,101.42,
sa-lon,salon,sa-l&,101.22,
prin-ce,prince,pR5-s°,101.22,
