word,pron,freq
~~froi,~~fRwa,2.83
~~fu,~~fy,31.35
~~fui,~f8i,14.79
~~fuie,~f8i,8.71
~~fuir,~f8iR,20.81
~~fuis,~f8i,6.83
~~fuit,~~fuit,6.31
~~funt,~~f1,7.37
~~fus,~~fy,9.02
~~fé,~~fe,173.01000000000002
~~fés,~~fe,6.0
~~fût,~fy,1.36
~~ga,~ga,24.2
~~gaie,~~gE,1.33
~~gal,~~gal,11.98
~~gard,~~gaR,52.39
~~gaud,~~go,1.81
~~ge,~~ge,2.13
~~gent,~~Z@,551.9699999999999
~~geon,~~Z§,8.56
~~ger,~~ger,64.37
~~gers,~~gers,2.5799999999999996
~~geur,~~Z9R,1.73
~~gez,~~Ze,8.24
~~gi,~~Zi,1.57
~~gie,~~Zi,29.590000000000003
~~gies,~~Zi,1.6199999999999999
~~gin,~~gin,9.41
~~gins,~Z5,1.84
~~gion,~~Zj§,29.97
~~gis,~~Zi,3.24
~~git,~~Zi,1.93
~~gler,~~gle,42.34
~~glez,~~gle,3.06
~~glo,~~glo,5.99
~~glé,~~gle,23.46
~~glée,~~gle,3.4800000000000004
~~gna,~~Na,1.5100000000000002
~~gnac,~~Nak,11.69
~~gnal,~~Nal,33.98
~~gner,~~Ne,135.51
~~gnez,~~Ne,25.5
~~gnon,~~N§,69.52
~~gné,~~Ne,130.74000000000004
~~gnée,~~Ne,13.85
~~gnés,~~Ne,2.95
~~go,~~go,18.58
~~gon,~~g§,7.62
~~gons,~~g§,3.84
~~got,~~go,6.330000000000001
~~gots,~~go,7.51
~~goût,~~gu,9.36
~~grat,~gRa,4.84
~~gret,~~gRE,7.26
~~gri,~gRi,1.4
~~gro,~~gRo,4.71
~~gros,~~gRo,1.38
~~gré,~~gRe,8.04
~~grés,~~gRe,13.37
~~gu,~gy,2.09
~~guer,~~ge,2.6799999999999997
~~gueu,~~g2,3.1
~~guin,~~g5,3.09
~~gué,~~ge,4.029999999999999
~~guë,~gy,2.75
~~gâts,~~ga,13.27
~~gé,~~Ze,35.849999999999994
~~gée,~~Ze,3.8499999999999996
~~gés,~~Ze,3.5399999999999996
~~hib,~~ib,1.61
~~hier,~~jER,5.04
~~hors,~~OR,228.58999999999997
~~hut,~~y,1.5
~~ja,~~Za,9.629999999999999
~~ject,~~ZEkt,1.4
~~jet,~~jet,140.06
~~jets,~~ZE,32.35
~~jeu,~Z2,3.52
~~jeur,~~Z9R,4.71
~~jeux,~Z2,1.16
~~jo,~~Zo,3.33
~~jor,~~ZOR,16.45
~~jou,~~Zu,8.54
~~joue,~~Zu,1.58
~~jour,~~ZuR,15.7
~~joux,~~Zu,20.64
~~joué,~~Zwe,1.18
~~ju,~~Zy,1.73
~~jà,~~Za,692.73
~~ker,~~kER,14.059999999999999
~~ki,~~ki,4.31
~~ké,~~ke,2.55
~~la,~~la,503.52
~~lai,~~lE,17.33
~~laie,~~lE,2.29
~~lain,~~l5,14.559999999999999
~~lais,~lE,108.69
~~lait,~lE,132.04999999999998
~~lam,~~lam,2.84
~~lan,~~l@,5.84
~~lant,~~l@,33.89
~~las,~las,24.26
~~laud,~~lo,79.91
~~lax,~~laks,13.92
~~laxe,~~laks,4.21
~~laye,~~lEj,1.03
~~le,~~le,27.4
~~leil,~~lEj,120.72
~~lent,~~l@,33.38
~~ler,~~ler,834.1
~~let,~~let,32.230000000000004
~~lets,~~lE,12.570000000000002
~~leur,~~l9R,80.69
~~leux,~~l2,1.1600000000000001
~~lex,~~lEks,1.76
~~lez,~le,1414.8799999999999
~~li,~~li,108.56000000000004
~~lie,~~li,158.51999999999998
~~lief,~~ljEf,1.11
~~lier,~~lje,9.57
~~lies,~~li,24.56
~~lieu,~~lj2,68.71
~~liez,~lje,16.49
~~lin,~~l5,57.910000000000004
~~lins,~~l5,8.36
~~lio,~~ljo,1.1
~~lir,~~liR,7.7299999999999995
~~lis,~~li,23.76
~~lit,~~li,12.85
~~lits,~~li,2.17
~~lium,~ljOm,1.01
~~lié,~lje,3.58
~~liée,~lje,1.8399999999999999
~~liés,~lje,9.5
~~lo,~~lo,53.0
~~loir,~~lwaR,4.72
~~lon,~~l§,133.66
~~lons,~l§,500.21
~~loon,~~lun,4.65
~~lop,~~lop,3.56
~~lord,~~lOR,2.66
~~los,~~lo,22.190000000000005
~~lot,~~lo,11.249999999999998
~~lou,~~lu,1.79
~~loux,~~lu,34.86
~~lu,~ly,9.06
~~lue,~~ly,18.21
~~luer,~~l8e,12.16
~~lues,~~ly,1.22
~~lui,~~l8i,250.15
~~lut,~~ly,481.02000000000004
~~lué,~~l8e,2.62
~~là,~la,5.58
~~lé,~~le,229.24
~~lée,~le,63.13
~~lées,~~le,6.210000000000001
~~lés,~le,26.67
~~lô,~lo,116.05
~~ma,~~ma,18.860000000000003
~~mac,~mak,1.63
~~main,~~m5,482.30999999999995
~~mais,~~mE,1362.03
~~mait,~mE,49.57
~~man,~~man,556.32
~~mans,~~m@,9.65
~~mant,~m@,5.590000000000001
~~mard,~maR,3.79
~~mas,~~ma,2.4499999999999997
~~me,~~me,70.46000000000001
~~meau,~~mo,4.07
~~men,~mEn,2.05
~~ment,~~m@,422.08
~~mer,~~mer,90.72
~~met,~~mE,15.670000000000002
~~mets,~~mE,34.91
~~meur,~m9R,29.8
~~meux,~~m2,12.82
~~mez,~me,62.29
~~mi,~~mi,67.93
~~mie,~~mi,37.29
~~mier,~~mje,17.03
~~mies,~~mi,1.21
~~miez,~mje,6.92
~~min,~~m5,72.88
~~ming,~~ming,3.58
~~mins,~~m5,23.47
~~mion,~~mj§,50.06
~~mir,~~miR,16.13
~~mis,~~mi,33.71
~~mit,~~mi,7.24
~~mo,~~mo,13.640000000000002
~~moin,~~mw5,49.35
~~mon,~~m§,40.34
~~mons,~~mons,22.3
~~mos,~mo,3.2800000000000002
~~mour,~muR,17.22
~~mous,~~mu,1.49
~~mu,~~my,1.8900000000000001
~~mue,~~my,8.520000000000001
~~muer,~~muer,6.38
~~mues,~~my,1.15
~~mur,~~myR,1.42
~~mué,~~m8e,1.68
~~mé,~~me,249.49
~~mée,~~me,126.62000000000003
~~mées,~~me,12.869999999999996
~~més,~~me,15.0
~~na,~~na,66.22000000000001
~~nais,~~nE,36.06
~~nait,~~nE,76.22000000000001
~~nal,~~nal,37.46000000000001
~~nant,~~n@,34.12
~~nar,~~naR,1.8800000000000001
~~nard,~~naR,21.04
~~nars,~~naR,1.5799999999999998
~~nas,~~na,13.389999999999999
~~nat,~~na,1.38
~~naux,~~no,3.65
~~ne,~~ne,65.7
~~neau,~no,17.59
~~ner,~~ner,167.59999999999997
~~ners,~~ners,3.72
~~net,~~nE,2.22
~~neur,~~n9R,10.48
~~nexe,~nEks,2.16
~~ney,~~nE,3.7
~~neys,~~nE,1.1
~~nez,~~ne,412.41999999999996
~~ni,~~ni,369.53000000000003
~~nial,~~njal,115.27
~~nic,~~nik,2.39
~~nie,~~ni,82.14
~~nier,~~nier,19.73
~~nies,~~ni,9.88
~~niez,~~nje,12.399999999999999
~~nif,~~nif,4.24
~~nin,~~n5,4.8100000000000005
~~nior,~~njOR,5.02
~~nir,~~niR,562.86
~~nis,~~ni,40.75
~~nit,~~ni,33.37
~~nié,~~nje,1.38
