item,ntrials,err,rt,sd,rtz,nused
éconser,24,0,826.916666666667,279.21285579389,0.330358820636345,24
bonsin,22,0,803.863636363636,198.041673212999,-0.126704633695966,22
ovais,18,0.055555555555556,767.647058823529,260.813137412706,-0.139130266212733,17
gion,24,0,673.166666666667,247.497152669905,-0.656688991650285,24
assencoup,24,0.041666666666667,678.727272727273,112.020908685316,-0.472402574114737,22
agasent,19,0.315789473684211,946.923076923077,212.746116900897,1.01297607104474,13
folcord,20,0,606.2,116.579135083608,-0.881879009221583,20
prélisa,22,0.045454545454545,734.571428571429,202.342919675627,-0.294945746912201,21
atoiler,21,0.095238095238095,762.789473684211,271.742439115377,-0.325771023280558,19
tade,23,0.086956521739131,742.095238095238,159.517680763577,-0.260597957873541,21
verto,23,0.130434782608696,698.75,180.754522401021,-0.769081640207289,20
pourlodote,21,0,723.857142857143,123.986001513996,-0.35991749616707,21
noiripes,22,0,739.454545454545,211.559679134512,-0.2888776444441,22
porne,23,0,747.608695652174,129.448037707812,0.084515364283842,23
proplome,25,0.08,744.565217391304,231.451904701005,-0.136843990016632,23
minge,26,0,897.576923076923,219.252580021659,0.39596120043622,26
nastoinaritait,22,0,778.090909090909,213.620693908153,0.077999348891792,22
comterflexions,19,0.052631578947369,972.176470588235,271.52721670537,1.04127636974221,17
renfait,22,0.136363636363636,850.764705882353,209.201018583731,0.330198576009003,17
nomporge,22,0,694.181818181818,175.081922692435,-0.57627812943433,22
adonvilait,21,0,811.65,257.087999474274,0.030521716967465,20
destavait,19,0,901.421052631579,248.06748987355,0.531055686303865,19
telique,22,0.045454545454545,728.238095238095,172.043862070666,-0.314662350361034,21
lançaimont,21,0,869.666666666667,215.000775192401,0.375630049581697,21
marmére,22,0.045454545454545,937.142857142857,251.399738606524,0.465233448658449,21
rerignie,21,0.047619047619048,743.555555555556,206.283705901027,-0.378554180900134,18
receptre,23,0.130434782608696,938.7,287.807885485037,0.671933988680837,20
tuclimé,22,0,745.590909090909,219.31465959534,-0.3712992558927,22
duprespuient,25,0,806.08,220.081409180027,0.118388001302608,25
tecode,20,0,680.5,192.331539412109,-0.493781145504998,20
bisarées,22,0.045454545454545,882.95,232.31432314182,0.520674456926346,20
jage,19,0.052631578947369,815.944444444444,187.013517039693,0.291272603319688,18
